"","Site","B.Al.mg.kg.soil","C.Al.mg.kg.soil","O.Al.mg.kg.soil","B.Ca.mg.kg.soil","C.Ca.mg.kg.soil","O.Ca.mg.kg.soil","B.Fe.mg.kg.soil","C.Fe.mg.kg.soil","O.Fe.mg.kg.soil","B.K.mg.kg.soil","C.K.mg.kg.soil","O.K.mg.kg.soil","B.Mg.mg.kg.soil","C.Mg.mg.kg.soil","O.Mg.mg.kg.soil","B.Mn.mg.kg.soil","C.Mn.mg.kg.soil","O.Mn.mg.kg.soil","B.Na.mg.kg.soil","C.Na.mg.kg.soil","O.Na.mg.kg.soil","B.P.mg.kg.soil","C.P.mg.kg.soil","O.P.mg.kg.soil","B.Sr.mg.kg.soil","C.Sr.mg.kg.soil","O.Sr.mg.kg.soil","B.pH","C.pH","O.pH","B.Bottom_actual","C.Bottom_actual","O.Bottom_actual","B.Bottom_full","C.Bottom_full","O.Bottom_full","B.percent_N","C.percent_N","O.percent_N","B.percent_C","C.percent_C","O.percent_C","B.Top_Depth","C.Top_Depth","O.Top_Depth"
"166",192,2073.7077,210.5722,-1,27.1785,5.0838,-1,50.8337,20.4809,-1,26.6971,5.0809,-1,2.0792,0.4166,-1,2.1504,2.6607,-1,1.7151,0.9186,-1,6.3659,3.1573,-1,0.1974,0.04,-1,3.53,3.93,-1,24,95,-1,57,95,-1,0.0013,2e-04,-1,0.0281,0.0021,-1,13,57,-1
"169",195,515.0045,222.9832,-1,26.1237,16.4627,-1,85.8545,25.7942,-1,8.92,6.4315,-1,3.834,1.8808,-1,6.7884,4.1802,-1,1.7868,0.885,-1,3.7752,2.446,-1,0.2802,0.1386,-1,3.63,3.85,-1,46,80,-1,46,80,-1,6e-04,2e-04,-1,0.0093,0.0035,-1,36,46,-1
"171",197,822.2245,627.0495,437.0152,33.9679,17.7138,1488.0777,279.3805,41.1624,281.0319,12.943,6.7577,420.8981,6.3712,2.4736,398.3363,5.8593,6.12,32.8742,2.5859,2.4397,11.222,3.6193,2.4157,93.2166,0.3806,0.2551,10.2299,3.96,4.25,4.41,42,79,9,42,58,9,5e-04,3e-04,0.016,0.0103,0.0052,0.2851,22,42,0
"172",198,735.8311,-1,-1,23.0935,-1,-1,350.0679,-1,-1,43.6086,-1,-1,7.792,-1,-1,7.9476,-1,-1,1.4818,-1,-1,9.6384,-1,-1,0.1863,-1,-1,3.83,-1,-1,20,-1,-1,20,-1,-1,0.001,-1,-1,0.0195,-1,-1,6,-1,-1
"173",199,1639.5679,1032.885,1284.234639,13.8371,24.1372,61.07107391,68.5525,41.5107,756.4380217,28.2541,14.824,120.1230565,5.6336,4.7046,40.9335913,3.1293,29.1361,9.2332,3.1373,6.8278,3.417517391,4.9343,5.0911,18.68111739,0.1823,0.2787,0.660478261,3.99,4.27,3.655652174,54,64,23,54,64,23,0.0011,0.0016,0.003921739,0.03,0.0303,0.083521739,23,54,0
"174",302,1229.3338,776.2718,-1,49.6978,23.9869,-1,35.995,19.4667,-1,15.6927,10.9292,-1,2.3827,0.9982,-1,2.8881,1.8553,-1,2.8608,2.7697,-1,3.459,3.1186,-1,0.4515,0.233,-1,3.6225,3.73,-1,85,95,-1,85,95,-1,0.1225,5e-04,-1,2.385,0.0099,-1,13,85,-1
"175",306,1187.0631,236.7613,187.9502,15.3488,14.2706,1304.714,53.0667,6.0339,68.1698,28.7576,12.6035,419.3812,4.4825,0.9401,172.4793,2.3879,0.7897,71.6195,5.8381,2.4907,27.4725,3.1928,0.398,147.911,0.2725,0.3777,10.1379,3.48,3.82,2.45,43,105,5,95,105,5,0.0013,2e-04,0.012,0.0329,0.0046,0.3258,8,95,0
"176",307,1672.544,150.4607,41.6184,20.511,3.2637,1092.7456,205.3412,4.918,9.7966,30.1519,6.0748,371.3506,4.9823,0.312,95.9975,1.289,0.3347,35.8586,6.2927,1.9768,42.5774,6.0295,1.8576,210.3579,0.3848,0.0946,17.5873,3.33,3.85,2.14,53,110,12,84,110,12,0.0016,1e-04,0.0105,0.051,0.0031,0.4669,12,84,0
"179",316,1119.0095,662.3983,111.7127,79.3888,5.471,1978.0163,842.7945,10.9485,42.2399,42.5213,7.3848,376.2874,12.9261,0.7508,171.5351,1.5272,0.1388,62.9522,8.7485,2.8833,20.6746,5.8424,1.2618,152.4697,1.0228,0.0516,14.6937,3.07,3.82,2.6,45,115,15,81,115,15,0.0015,3e-04,0.0118,0.0337,0.0074,0.3397,18,81,0
"180",317,1680.8716,-1,23.2826,221.5393,-1,829.6806,242.4145,-1,0.8555,34.2327,-1,691.5036,11.5606,-1,221.4444,1.5248,-1,27.8266,9.6295,-1,28.6744,5.5043,-1,266.5741,4.812,-1,15.2884,3.27,-1,2.26,54,-1,17,54,-1,17,0.002,-1,0.0163,0.0415,-1,0.4814,32,-1,0
"184",327,1666.9367,599.2384,17.1938,112.1463,22.8016,2085.5648,134.0281,19.3166,5.9551,27.5228,8.5907,707.1842,4.9132,0.5881,191.9982,2.4487,1.6141,76.249,6.0599,3.4847,27.4509,6.7109,1.2948,300.2163,1.7627,0.37,23.5183,3.52,3.64,2.65,31,93,3,51,120,3,0.0018,3e-04,0.0173,0.0374,0.0065,0.3993,10,51,0
"185",331,3241.4513,240.7585,38.4588,17.1355,2.2533,1182.4502,766.276,7.7555,5.0509,21.9118,3.0125,606.0428,2.9338,0.2821,202.4144,1.0661,0.2732,44.6232,4.6393,1.4106,35.1192,44.6527,1.1779,314.0996,0.7412,0.0411,27.7168,3.21,3.96,3.26,33,82,7,72,82,7,0.0017,0,0.0145,0.0647,0.0021,0.4516,18,72,0
"186",332,3297.5449,335.1226,90.9128,4.5869,1.5556,1595.6215,156.093,7.0978,18.0139,23.5932,5.512,617.6148,2.2081,0.3277,195.6914,1.1348,0.2221,99.7922,4.7389,1.5991,38.8384,13.3504,6.1546,277.9829,0.2591,0.0475,28.0991,3.58,3.84,2.46,-1,80,7,45,80,7,0.0016,1e-04,0.0149,0.0535,0.0038,0.4605,11,45,0
"188",336,3420.8591,392.0058,24.5473,15.273,1.7835,663.0444,649.7521,7.5561,2.0634,34.6396,7.0971,515.1372,5.8966,0.1041,217.5683,4.5127,0.1722,19.9682,5.8478,2.1763,27.2208,25.4359,1.7011,248.8837,0.845,0.0483,22.0587,3.39,3.92,2.21,26,82,13,72,82,13,0.0021,1e-04,0.0152,0.0642,0.0039,0.4611,18,72,0
"190",341,3361.5738,461.0509,196.0649,15.322,5.1827,1360.3434,196.5159,6.5625,20.9876,36.6955,17.9757,358.1574,5.4843,0.1383,132.0397,2.3435,0.7737,11.1832,7.3691,2.6277,28.5754,26.9371,2.2359,148.7654,0.7242,0.0601,24.5515,3.4,3.83,2.27,28,87,13,77,87,13,0.002,1e-04,0.0122,0.0547,0.0038,0.4313,20,77,0
"198",405,2047.178415,663.8300712,85.95471136,43.79856984,13.23975677,2241.678911,416.5714014,42.7068212,59.23544255,40.17166214,7.598140357,513.7873451,12.13204814,0.416132538,327.4370705,3.564558795,1.587252939,49.38189165,8.086163119,3.703869442,35.01042795,9.72965078,2.680941568,204.4831162,0.598072743,0.250142299,17.39239486,3.76,4.35,3.08,10,90,3,44,90,3,0.002045167,0.000258114,0.015173248,0.04596323,0.004953569,0.317222516,3,70,0
"199",406,991.2386264,411.6317092,79.49305948,59.0232956,6.716249738,2122.044681,553.5353018,55.58244161,33.38524885,29.13534377,11.30293892,288.1310198,11.79935205,0.654494449,324.6457009,1.422497295,0.561889811,45.31239397,5.77445697,4.490132001,22.6332769,5.040607487,4.006076862,161.5094901,0.729934235,0.390775695,21.22926927,3.42,4.33,2.94,43,73,6,43,73,6,0.002318322,0.000147687,0.013138794,0.052018527,0.002822696,0.403041107,6,63,0
"202",409,1744.685963,643.2881891,22.52261592,28.11930075,-3.859840923,1363.955575,1163.331176,26.02286491,2.961228074,40.61695809,17.95037531,90.99803879,18.26629419,0.801854595,373.3083402,0.734096707,1.033364806,1.381192369,9.979814827,5.076501276,29.39795142,4.242657433,2.907634089,38.77339995,2.307665018,0.090718639,35.6504457,3.22,4.21,2.47,30,100,15,42,100,20,0.00282399,0.000171843,0.012896765,0.091916757,0.004763159,0.517948795,24,67,0
"204",411,1096.600505,303.6305049,-1,523.3579755,56.63958694,-1,68.98375082,79.00924975,-1,48.80581497,13.34226117,-1,32.42921406,6.266881347,-1,17.74803554,4.509038245,-1,8.27850489,5.553042842,-1,5.900715067,2.569575125,-1,4.37050093,1.163641369,-1,4.195862069,4.64,-1,64,100,-1,64,100,-1,0.001813625,0.000169491,-1,0.033574706,0.002927958,-1,6,90,-1
"206",413,930.0666075,-1,113.0329947,95.79942379,-1,2348.40084,153.8773963,-1,31.63068086,6.985079061,-1,122.8028806,10.43574078,-1,340.8922396,1.689531022,-1,25.5623564,5.645063995,-1,93.92593228,6.527683871,-1,71.60611431,0.718852558,-1,19.24742992,4.048064516,-1,2.79,67,-1,21,72,-1,21,0.000452464,-1,0.014962458,0.01573886,-1,0.468055246,41,-1,6
"207",414,2794.651024,168.3861905,34.78753331,5.328131503,-4.829103186,304.6475466,895.9709476,20.35481022,4.640726813,27.88476798,1.329958972,227.4356876,7.742514275,0.60875986,310.1768388,0.910178059,1.416021744,9.282862174,5.441184413,0.793925523,24.36286318,5.746018358,5.705962165,91.20407218,0.496751206,0.001161467,16.97510461,3.79,4.2,2.59,78,165,13,78,165,38,0.001907942,0.000121637,0.016026619,0.068951919,0.001500296,0.502945839,42,116,0
"208",416,865.7266373,-1,351.2749273,231.2174167,-1,3573.539026,1365.295398,-1,350.9092086,56.33052418,-1,542.7109419,29.97090203,-1,453.1414834,4.945535973,-1,912.4969724,10.45358957,-1,39.0501195,16.72820873,-1,261.7527926,1.559151535,-1,14.99817827,4.21,-1,3.8,60,-1,7,60,-1,7,0.00351384,-1,0.016879833,0.063293001,-1,0.256610636,16,-1,0
"211",419,3673.652533,-1,514.9985979,3.5183879,-1,459.2064912,499.6711785,-1,522.3346543,51.8009657,-1,329.1043089,7.599664052,-1,118.0592015,2.78188944,-1,42.33523415,5.047013213,-1,14.12385609,14.67196873,-1,89.89506939,0.139340051,-1,1.943488384,3.97,-1,2.94,12,-1,7,32,-1,7,0.003129659,-1,0.01244073,0.06558034,-1,0.274642644,7,-1,0
