Plot,NE,Species,Leaf count,Leaf size,LAI,Percent cover,,,,,,,,,,,,A,NE
126,SE2,ACESAC,24,2,48,A,,,,,,,,,,,,,
126,SE2,BETALL,4,1,4,A,,,,,,,,,,,,,
126,SE2,ABIBAL,-1,-1,20,A,,,,,,,,,,,,,
126,SW,DRYINT,3,150,450,A,,,,,,,,,,,,,
126,SW,HUPLUC,24,15,360,A,,,,,,,,,,,,,
126,SW,UNK004,8,4,32,A,,,,,,,,,,,,,
126,SW,ACESAC,10,1,10,A,,,,,,,,,,,,,
126,SW,ACEPEN,6,10,60,A,,,,,,,,,,,,,
126,SW,TRISPP,1,1,1,A,,,,,,,,,,,,,
126,NW,ACEPEN,6,10,60,A,,,,,,,,,,,,,
126,NW,ACESAC,48,1,48,A,,,,,,,,,,,,,
126,NW,FAGGRA2,84,40,3360,C,,,,,,,,,,,,,
126,NW,OXAMON,15,5,75,A,,,,,,,,,,,,,
126,NW,TIACOR,1,3,3,A,,,,,,,,,,,,,
126,NW,TSUCAN,-1,-1,15,A,,,,,,,,,,,,,
126,NW,DRYCAM,6,100,600,A,,,,,,,,,,,,,
126,NW,OCLACU,8,5,40,A,,,,,,,,,,,,,
126,NW,PRYOLA,1,3,3,A,,,,,,,,,,,,,
131,NE,TRIBOR,121,4,484,A,,,,,,,,,,,,,
131,NE,ACESAC,2,40,80,A,,,,,,,,,,,,,
131,NE,OXAMON,68,6,408,A,,,,,,,,,,,,,
131,NE,MIACAN,64,12,768,A,,,,,,,,,,,,,
131,NE,ARANUD,11,25,275,A,,,,,,,,,,,,,
131,NE,ACEPEN,2,7.5,15,A,,,,,,,,,,,,,
131,NE,DRYINT,9,140,1260,B,,,,,,,,,,,,,
131,NE,VIBLAT,4,140,560,A,,,,,,,,,,,,,
131,NE,CLIBOR,2,20,40,A,,,,,,,,,,,,,
